日期,金额,支付通道,说明
2025-11-28,-11.57,微信,买搬家打包袋子
2025-11-28,-0.99,微信,共享单车
2025-11-28,-1.0,微信,早餐
2025-11-28,-15.3,微信,京东点外卖
2025-11-28,-0.99,微信,共享单车
2025-11-28,-148.55,支付宝,货拉拉
2025-11-29,-0.99,支付宝,共享单车
2025-11-29,-39.0,支付宝,打完球吃B记鱼粥
2025-11-29,-2.51,支付宝,打完球买可乐
2025-11-29,-0.99,支付宝,共享单车
2025-11-29,-10.9,微信,午餐
2025-11-29,-0.99,微信,共享单车
2025-11-29,-28.0,微信,零食饮料
2025-11-29,-10.5,微信,华工打球停车费
2025-11-29,-28.3,微信,羽毛球场地费+球费
2025-11-29,-27.86,微信,公牛排插
2025-11-30,-29.8,微信,京东点外卖
2025-11-30,-15.9,微信,京东点外卖
2025-11-30,-12.8,微信,京东点外卖
2025-11-30,-131.43,微信,买衣服
2025-12-01,-31.4,支付宝,pdd买桌垫
2025-12-01,-2.89,支付宝,pdd买绷带
2025-12-01,-0.99,支付宝,共享单车
2025-12-01,-9.71,支付宝,pdd买地垫
2025-12-01,-17.86,微信,京东买美纹纸
2025-12-01,-2.1,微信,共享单车
2025-12-01,-0.8,微信,共享单车
2025-12-01,-1.0,微信,早餐
2025-12-01,-17.0,微信,京东点外卖
2025-12-01,-500.0,微信,拉宽带
2025-12-02,-6.9,支付宝,共享单车
2025-12-02,-0.6,支付宝,共享单车
2025-12-02,-0.6,支付宝,共享单车
2025-12-02,-17.5,支付宝,零食饮料
2025-12-02,-3.0,微信,早餐
2025-12-02,-423.85,微信,11月水电费
2025-12-03,-0.6,支付宝,共享单车
2025-12-03,-1.8,微信,共享单车
2025-12-03,-1.0,微信,早餐
2025-12-04,-0.6,支付宝,共享单车
2025-12-04,-0.6,支付宝,共享单车
2025-12-04,-1.0,微信,早餐
2025-12-04,-13.0,微信,晚餐
2025-12-04,-2.8,微信,零食饮料
2025-12-05,-0.6,支付宝,共享单车
2025-12-05,-0.6,支付宝,共享单车
2025-12-05,-1.0,微信,早餐
2025-12-05,-18.4,微信,零食饮料
2025-12-05,-3.5,微信,买牙签
2025-12-05,-13.0,微信,晚餐
2025-12-05,-39.5,微信,保温壶
2025-12-06,-0.6,支付宝,共享单车
2025-12-06,-25.88,支付宝,午餐
2025-12-06,-0.6,支付宝,共享单车
2025-12-06,-120.8,微信,京东清洗洗衣机服务
2025-12-06,-25.9,微信,排插
2025-12-06,-14.9,微信,晚餐
2025-12-06,-8.82,白条,擦眼镜湿巾
2025-12-06,-5551.21,白条,macbook air
2025-12-06,-33.86,白条,macbook air 电脑包
2025-12-06,-75.56,白条,买衣服
2025-12-07,-100.0,支付宝,话费
2025-12-07,-73.13,支付宝,零食饮料
2025-12-07,-13.0,支付宝,晚餐
2025-12-07,-10.9,白条,午餐
2025-12-08,-0.6,支付宝,共享单车
2025-12-08,-13.19,支付宝,pdd买椅子
2025-12-08,-0.8,微信,共享单车
2025-12-08,-3.0,微信,早餐
2025-12-09,-11.3,白条,晚餐
2025-12-09,-0.6,支付宝,共享单车
2025-12-09,-0.6,支付宝,共享单车
2025-12-09,-1.0,微信,早餐
2025-12-10,-0.6,支付宝,共享单车
2025-12-10,-0.5,微信,共享单车
2025-12-10,-1.0,微信,早餐
2025-12-10,-100.0,白条,给159充话费
2025-12-11,-150.7,白条,其他厨具，餐具
2025-12-11,-121.55,白条,买电饭煲
2025-12-11,-65.55,白条,买炒菜锅
2025-12-11,-3.0,微信,早餐
2025-12-11,-0.6,支付宝,共享单车
2025-12-11,-0.6,支付宝,共享单车
2025-12-11,-5.84,支付宝,pdd买垃圾桶
2025-12-11,-5.0,支付宝,pdd买收纳盒
2025-12-11,-3.58,支付宝,pdd买螺丝刀
2025-12-12,-3.0,微信,早餐
2025-12-12,-0.6,支付宝,共享单车
2025-12-12,-16.72,支付宝,共享单车月卡
2025-12-12,-7.98,支付宝,pdd厨房筷子刀具收纳架
2025-12-12,-47.0,支付宝,盐、油、酱油
2025-12-12,-4.66,支付宝,pdd买小凳子
2025-12-13,-7.8,白条,京东点外卖
2025-12-13,-10.0,支付宝,捐赠给MSDN，I tell you
2025-12-13,-50.0,微信,给我奶手机充话费
2025-12-14,-18.0,微信,买鸡蛋
2025-12-14,-13.47,微信,买西红柿
2025-12-15,-3.0,微信,早餐
2025-12-15,-100.0,微信,给阿豪发红包，帮我租房合同用印
2025-12-15,-4.11,微信,钱大妈买菜
2025-12-15,-21.0,微信,零食饮料
2025-12-15,-1.71,微信,打水
2025-12-15,-3.48,支付宝,pdd买水龙头花洒
2025-12-15,-0.6,支付宝,共享单车
2025-12-16,-3.0,微信,早餐
2025-12-17,-3.0,微信,早餐
2025-12-17,-25.5,微信,午餐
2025-12-18,-3.0,微信,早餐
2025-12-18,-13.0,微信,晚餐
2025-12-19,-3.0,微信,早餐
2025-12-20,-50.0,微信,充话费
2025-12-20,-2.43,支付宝,网易云会员
2025-12-20,-29.86,支付宝,零食饮料
2025-12-20,-21.57,支付宝,买菜
2025-12-21,-10.0,支付宝,deepseekAPI费用
2025-12-21,-28.9,白条,买速冻水饺
2025-12-22,-1.0,微信,早餐
2025-12-23,-3.0,微信,早餐
